live_url,clicks_12m,impressions_12m,status,destination
/our-programs/medical-detox/dru…x/prescription-drug-detox/xanax/,1,2111,NO HOME,
/our-programs/medical-detox/dru…ox/stimulant-drug-detox/cocaine/,1,666,NO HOME,
/our-programs/therapy/,1,437,mapped,/therapies/
/our-programs/therapy/cognitive-behavioral-therapy/,1,1594,mapped,/therapies/
/podcast/,1,223,mapped,/resources/
/sitemap/,1,285,KEEPS URL,/sitemap/
/who-we-help/,1,255,mapped,/who-we-serve/
/who-we-help/professionals/,1,2081,mapped,/referrals/
/about-us/our-vision-mission-and-values/,0,450,mapped,/about/
/about-us/why-buena-vista/,0,4193,mapped,/about/
/addiction-treatment/for-me/,0,281,mapped,/programs/
/blog/2019/01/,0,1,BLOG — no home,
/blog/2019/02/,0,3,BLOG — no home,
/blog/2021/03/,0,1,BLOG — no home,
/blog/2021/05/,0,1,BLOG — no home,
/blog/2021/06/,0,5,BLOG — no home,
/blog/2021/07/,0,28,BLOG — no home,
/blog/2022/04/,0,28,BLOG — no home,
/blog/2022/08/,0,6,BLOG — no home,
/blog/2022/09/,0,3,BLOG — no home,
/blog/2022/11/,0,1,BLOG — no home,
/blog/2022/12/,0,12,BLOG — no home,
/blog/2023/03/,0,7,BLOG — no home,
/blog/2023/06/,0,56,BLOG — no home,
/blog/2024/06/,0,3,BLOG — no home,
/blog/2024/07/,0,31,BLOG — no home,
/blog/2025/03/,0,34,BLOG — no home,
/blog/2025/05/,0,14,BLOG — no home,
/blog/5-ways-to-support-a-loved-one-in-rehab/,0,19,BLOG — no home,
/blog/addiction-recovery-care/,0,46,BLOG — no home,
/blog/addictions-and-recovery-relapse-prevention/,0,230,BLOG — no home,
/blog/alcohol-addiction/,0,3,BLOG — no home,
/blog/alcohol-detox-arizona/,0,26,BLOG — no home,
/blog/alcohol-detox-program/,0,6,BLOG — no home,
/blog/alcohol-detox-treatment/,0,703,BLOG — no home,
/blog/alcohol-effects/,0,45,BLOG — no home,
/blog/alcohol-withdrawal/,0,986,BLOG — no home,
/blog/anxiety-and-distress-two-signs-of-opioid-addiction/,0,50,BLOG — no home,
/blog/arizona-rehab-campus-in-t…reatment-and-the-right-facility/,0,171,BLOG — no home,
/blog/balancing-pain-management-in-addiction-recovery/,0,357,BLOG — no home,
/blog/balancing-the-costs-of-addiction/,0,18,BLOG — no home,
/blog/behavioral-health-tucson/,0,16,BLOG — no home,
/blog/benefits-of-rehab/,0,66,BLOG — no home,
/blog/binge-drinking-and-men-wh…a-quality-alcohol-detox-program/,0,307,BLOG — no home,
/blog/buena-vista-playbook-processing-grief-during-recovery/,0,7,BLOG — no home,
/blog/buena-vistarecovery-can-you-still-travel-with-a-dui/,0,1,BLOG — no home,
/blog/building-long-term-solutions-starts-with-alcohol-detox/,0,53,BLOG — no home,
/blog/can-health-insurance-pay-for-my-rehab-expenses/,0,76,BLOG — no home,
/blog/can-i-manage-addiction-while-still-attending-college/,0,37,BLOG — no home,
/blog/can-i-overcome-my-addicti…an-outpatient-treatment-program/,0,6,BLOG — no home,
/blog/can-i-use-insurance-to-pay-for-drug-and-alcohol-rehab/,0,1332,BLOG — no home,
/blog/can-reconnecting-with-you…ns-at-iop-arizona-help-you-heal/,0,6,BLOG — no home,
/blog/can-you-overcome-a-meth-addiction/,0,155,BLOG — no home,
/blog/can-you-travel-with-a-dui/,0,1,BLOG — no home,
/blog/causes-effects-and-overcoming-crystal-meth-addiction/,0,658,BLOG — no home,
/blog/celebrating-valentines-day-in-recovery/,0,2,BLOG — no home,
/blog/childhood-trauma-and-addiction/,0,8,BLOG — no home,
